-959 285 
-337 941 
115 33 
85 96 
772 -474 
9 999 
153 988 
1692 -222 
423 905 
1468 -384 
-486 874 
1022 -500 
1719 -195 
507 861 
995 94 
-413 911 
518 855 
1998 437 
378 -284 
699 -454 
909 415 
218 -124 
147 989 
1264 -465 
993 113 
952 303 
1875 17 
997 75 
180 -74 
1701 -213 
-458 889 
-978 212 
-973 230 
-396 918 
819 573 
-943 333 
-167 986 
-998 69 
988 150 
542 -390 
908 -496 
1705 -209 
348 937 
1946 178 
719 694 
-524 852 
958 285 
-436 900 
766 -473 
735 -465 
1009 -500 
999 31 
1833 -53 
128 991 
723 -462 
1084 -497 
994 100 
520 -378 
330 -243 
570 821 
705 -456 
660 751 
280 -195 
246 -158 
-992 131 
1512 -359 
-711 703 
-983 187 
-597 802 
-928 374 
946 -499 
877 -493 
1336 -442 
907 420 
1983 318 
921 -497 
34 238 
152 -32 
139 -10 
773 633 
1944 172 
769 638 
-854 520 
1203 -480 
408 -307 
621 783 
501 864 
1963 232 
815 578 
655 755 
922 386 
1789 -114 
-720 694 
1822 -69 
-651 759 
-1000 31 
106 50 
956 291 
1938 154 
1534 -346 
-830 557 
20 299 
1377 -426 
1829 -58 
-228 973 
-805 593 
1960 220 
-331 943 
1678 -235 
1993 386 
-265 964 
82 102 
796 -480 
1714 -200 
177 -69 
657 -440 
-110 993 
1116 -494 
39 220 
1826 -64 
940 -499 
22 999 
233 972 
761 648 
596 802 
-612 791 
610 -422 
70 131 
-271 962 
917 397 
744 667 
8 368 
539 842 
-995 100 
166 986 
559 -398 
476 -353 
523 852 
4 405 
971 -500 
802 -481 
172 985 
1655 -256 
1999 455 
242 -153 
1053 -499 
468 883 
836 547 
-577 817 
729 -463 
-79 996 
604 -419 
977 212 
1549 -336 
1927 125 
927 374 
850 526 
564 -401 
784 -477 
1141 -490 
1990 361 
0 455 
300 953 
1749 -163 
191 -89 
1977 287 
146 -21 
439 -329 
800 598 
1863 -5 
1496 -369 
1761 -149 
1184 -483 
948 315 
227 973 
-715 699 
429 -322 
95 73 
544 838 
1276 -462 
663 -442 
440 897 
878 477 
793 608 
1631 -276 
753 657 
321 -235 
-945 327 
377 925 
-277 961 
1591 -307 
-728 685 
525 -381 
821 -484 
736 676 
-966 261 
990 -500 
983 181 
826 563 
640 767 
-571 821 
-283 959 
246 969 
981 193 
1190 -482 
1606 -296 
-561 828 
9 361 
-935 357 
999 6 
-497 868 
72 997 
890 -494 
781 623 
1636 -272 
1539 -343 
675 -446 
1970 256 
931 362 
950 309 
570 -404 
1669 -243 
-430 903 
765 643 
587 -412 
944 327 
599 -417 
503 -369 
371 928 
1354 -436 
1999 468 
1811 -84 
1924 119 
-247 969 
1294 -456 
222 -129 
-693 721 
998 62 
-54 998 
549 835 
452 892 
593 -414 
1956 208 
1091 -496 
87 90 
1576 -318 
-587 810 
156 -37 
1878 22 
-996 94 
1994 393 
1616 -288 
226 -134 
965 -500 
1869 6 
1601 -299 
10 355 
1914 96 
163 -48 
669 742 
-867 499 
1040 -500 
-990 144 
1856 -16 
-535 845 
-582 813 
717 -460 
53 998 
1252 -468 
1972 269 
485 874 
1989 355 
804 593 
1389 -422 
-60 998 
1660 -252 
1966 244 
450 -336 
1109 -494 
1565 -325 
282 959 
12 343 
-876 482 
1570 -322 
991 131 
1474 -381 
6 386 
1221 -476 
741 -467 
749 662 
-117 993 
-870 493 
1931 137 
1872 11 
1288 -458 
57 166 
-758 652 
423 -318 
-902 432 
398 -299 
-372 928 
601 798 
72 125 
1581 -314 
490 871 
-782 623 
789 613 
-951 309 
250 -163 
-204 979 
7 374 
1560 -329 
954 297 
84 996 
133 0 
-319 947 
852 -490 
178 983 
1836 -48 
-1000 25 
710 703 
693 -452 
1122 -493 
264 964 
-566 824 
202 -104 
1227 -474 
-891 454 
15 324 
-148 989 
1645 -264 
109 45 
354 935 
-35 999 
946 321 
100 62 
-941 339 
1936 148 
-925 380 
481 -356 
912 409 
1999 462 
1418 -409 
994 106 
-185 982 
1736 -177 
999 37 
143 -16 
2000 499 
-932 362 
-986 169 
1147 -490 
298 -213 
509 -372 
901 432 
-988 156 
98 67 
996 81 
942 333 
-222 975 
112 39 
701 712 
11 349 
0 487 
1640 -268 
-123 992 
27 269 
631 775 
1773 -134 
289 -204 
302 -218 
-957 291 
875 482 
1765 -144 
230 -139 
-750 662 
267 -182 
383 -288 
536 -387 
1981 306 
-607 795 
1978 293 
-191 981 
3 999 
1934 142 
-401 916 
-16 999 
373 -280 
1596 -303 
288 957 
-882 471 
-289 957 
-910 415 
276 961 
159 987 
966 255 
-602 798 
-980 200 
692 721 
43 208 
-1000 0 
1209 -478 
-873 488 
195 -94 
-967 255 
747 -468 
560 828 
1815 -79 
997 69 
1853 -21 
-999 56 
1992 374 
645 763 
1457 -390 
127 11 
-313 949 
1485 -375 
1611 -292 
1961 226 
847 531 
0 500 
989 144 
-98 995 
1683 -231 
45 202 
7 380 
-998 75 
-848 531 
-73 997 
349 -260 
3 411 
-745 667 
887 460 
5 399 
-982 193 
-513 858 
403 -303 
829 557 
1166 -487 
963 267 
1979 299 
1899 62 
1687 -226 
990 138 
-508 861 
47 998 
1650 -260 
1998 449 
1300 -454 
354 -264 
75 119 
1999 474 
1901 67 
-900 437 
1507 -362 
1034 -500 
1793 -109 
1887 39 
-993 119 
919 392 
827 -486 
893 449 
1324 -446 
1518 -356 
1999 481 
528 848 
170 -58 
778 -476 
-955 297 
55 172 
697 717 
77 113 
687 725 
-480 877 
811 583 
1917 102 
514 -375 
65 142 
474 880 
-253 967 
0 462 
933 -498 
-617 787 
413 -311 
705 708 
777 628 
1501 -365 
581 813 
1318 -448 
-949 315 
-390 921 
616 -424 
-67 997 
136 -5 
1777 -129 
1003 -500 
234 -144 
-592 806 
306 951 
-920 392 
674 738 
1000 0 
285 -200 
184 -79 
1999 493 
1904 73 
33 244 
1360 -433 
840 542 
-698 717 
534 845 
-545 838 
1463 -387 
221 975 
400 916 
418 -314 
865 -491 
444 -332 
-953 303 
240 970 
1446 -395 
159 -43 
-798 603 
1233 -473 
998 56 
190 981 
1400 -417 
1723 -191 
1950 190 
-684 730 
1306 -452 
-10 999 
-762 648 
122 992 
312 949 
984 -500 
881 471 
970 243 
628 -429 
1172 -486 
984 175 
611 791 
1134 -491 
-897 443 
16 318 
-937 351 
639 -433 
808 588 
-529 848 
66 997 
184 982 
586 810 
383 923 
130 6 
1850 -27 
902 -496 
61 154 
434 -325 
1769 -139 
-453 892 
1808 -89 
388 -292 
2 430 
1555 -332 
1246 -470 
-384 923 
465 -346 
1312 -450 
576 817 
996 88 
-424 905 
-632 775 
-993 125 
24 281 
-774 633 
-844 536 
199 -99 
581 -409 
924 380 
1974 275 
-241 970 
1991 368 
1159 -488 
1178 -484 
258 966 
103 56 
960 279 
978 206 
1890 45 
-1000 18 
-407 913 
1128 -492 
890 454 
28 263 
977 -500 
276 -191 
1395 -419 
-48 998 
961 273 
-766 643 
-641 767 
1744 -168 
-972 236 
-864 504 
-837 547 
68 137 
141 989 
1840 -43 
-816 578 
899 437 
809 -482 
1452 -393 
982 187 
996 -500 
-975 224 
1995 405 
1015 -500 
-1000 6 
-646 763 
757 652 
934 357 
-154 988 
1348 -438 
255 -168 
940 339 
-670 742 
-994 113 
547 -393 
-301 953 
1881 28 
496 868 
858 -490 
1942 166 
1078 -497 
29 256 
1727 -186 
339 -252 
-820 573 
-622 783 
97 995 
-502 864 
-104 994 
-355 935 
-688 725 
-361 932 
1 449 
-786 618 
1866 0 
-905 426 
-908 420 
-665 747 
166 -53 
214 -119 
-475 880 
0 493 
-129 991 
-216 976 
1922 113 
1998 443 
90 84 
63 148 
252 967 
-540 842 
188 -84 
759 -471 
1371 -429 
-971 243 
1674 -239 
863 504 
1 437 
-366 930 
1197 -481 
-4 999 
952 -499 
330 943 
1664 -248 
1047 -499 
-918 397 
40 999 
999 25 
606 795 
-23 999 
31 250 
1412 -412 
833 552 
979 200 
1621 -284 
1907 79 
91 995 
-879 477 
-1000 37 
1919 107 
1258 -467 
1059 -499 
498 -365 
134 990 
986 162 
1423 -406 
318 947 
869 493 
294 -209 
-173 985 
342 939 
38 226 
1996 411 
15 999 
-794 608 
1987 343 
-741 671 
-809 588 
999 12 
992 119 
-307 951 
-519 855 
727 685 
531 -384 
-841 542 
487 -359 
-894 449 
622 -426 
938 345 
1860 -10 
3 418 
-464 886 
28 999 
651 -438 
429 903 
914 403 
395 918 
-733 681 
-991 138 
215 976 
-997 81 
1440 -398 
460 -343 
883 -494 
312 -226 
-556 831 
307 -222 
294 955 
49 190 
1940 160 
904 426 
860 509 
-550 835 
-441 897 
1999 487 
-1000 12 
833 -487 
-447 894 
843 536 
1732 -182 
1800 -99 
683 730 
971 236 
324 945 
149 -27 
-29 999 
1753 -158 
687 -450 
-179 983 
-979 206 
365 930 
1929 131 
846 -489 
-41 999 
-637 771 
553 -395 
1958 214 
336 941 
1954 202 
-661 751 
1215 -477 
965 261 
1986 337 
435 900 
1985 330 
-989 150 
272 -186 
124 17 
406 913 
368 -276 
1710 -204 
732 681 
565 824 
118 28 
664 747 
389 921 
41 214 
975 218 
1843 -37 
1740 -172 
53 178 
-969 249 
418 908 
-675 738 
13 337 
0 474 
871 -492 
78 996 
